Time,Num c bots
19273.88252,1
19273.88252,2
19273.88252,3
19273.88252,4
19273.88276,3
19273.88277,4
19273.88279,3
19273.88285,2
19273.88291,1
19273.88306,0
Time,Num h bots
19273.88252,1
19273.88252,2
19273.88252,3
19273.88252,4
19273.88252,5
19273.88252,6
19273.88252,7
19273.88252,8
19273.88252,9
19273.88252,10
19273.88254,9
19273.88259,8
19273.8826,7
19273.88264,8
19273.88265,7
19273.88265,6
19273.88266,5
19273.88273,6
19273.88285,7
19273.88286,8
19273.88286,7
19273.88287,6
19273.88293,5
19273.88302,4
19273.88305,3
19273.88313,4
19273.88322,5
19273.88323,4
19273.88343,3
19273.88349,4
19273.88353,3
19273.88365,4
19273.88389,3
19273.88429,4
19273.88433,5
19273.88435,6
19273.88439,5
19273.88447,6
19273.88455,7
19273.88461,6
19273.88464,5
19273.88469,6
19273.8847,5
19273.8848,6
19273.88498,5
19273.88518,4
19273.88519,3
19273.88523,2
19273.88543,1
19273.88574,2
19273.88574,1
19273.88603,2
19273.88608,1
19273.88614,2
19273.88634,1
19273.88654,0
Time,Num food
19273.88252,1
19273.88253,2
19273.88253,3
19273.88253,4
19273.88253,5
19273.88253,6
19273.88253,7
19273.88253,6
19273.88253,7
19273.88254,8
19273.88254,9
19273.88254,10
19273.88255,11
19273.88255,12
19273.88255,13
19273.88255,14
19273.88255,15
19273.88255,16
19273.88256,17
19273.88256,18
19273.88256,19
19273.88256,20
19273.88256,19
19273.88257,20
19273.88257,21
19273.88257,22
19273.88257,21
19273.88258,22
19273.88258,21
19273.88259,22
19273.88259,23
19273.88259,24
19273.88259,25
19273.88259,24
19273.88259,23
19273.88259,24
19273.88259,25
19273.8826,24
19273.8826,25
19273.8826,24
19273.8826,25
19273.8826,26
19273.88261,25
19273.88261,26
19273.88261,27
19273.88261,28
19273.88262,29
19273.88262,28
19273.88262,27
19273.88262,28
19273.88263,29
19273.88263,28
19273.88263,29
19273.88263,30
19273.88263,31
19273.88263,32
19273.88263,33
19273.88263,34
19273.88264,35
19273.88264,36
19273.88264,37
19273.88264,38
19273.88265,39
19273.88265,40
19273.88265,41
19273.88265,42
19273.88265,43
19273.88266,44
19273.88266,45
19273.88266,46
19273.88266,47
19273.88266,48
19273.88267,49
19273.88267,48
19273.88267,49
19273.88267,48
19273.88267,49
19273.88267,50
19273.88267,51
19273.88267,52
19273.88268,53
19273.88268,52
19273.88268,53
19273.88268,54
19273.88268,53
19273.88268,54
19273.88268,55
19273.88268,56
19273.88269,57
19273.88269,58
19273.88269,59
19273.88269,60
19273.88269,61
19273.8827,62
19273.8827,63
19273.8827,62
19273.8827,63
19273.8827,64
19273.88271,65
19273.88271,64
19273.88271,65
19273.88271,66
19273.88271,67
19273.88271,68
19273.88271,69
19273.88271,68
19273.88271,69
19273.88271,68
19273.88272,69
19273.88272,70
19273.88272,71
19273.88272,72
19273.88272,73
19273.88272,74
19273.88272,75
19273.88272,76
19273.88273,77
19273.88273,78
19273.88273,77
19273.88273,76
19273.88274,77
19273.88274,78
19273.88274,77
19273.88274,78
19273.88274,79
19273.88274,80
19273.88274,79
19273.88275,80
19273.88275,81
19273.88275,82
19273.88275,81
19273.88276,80
19273.88276,81
19273.88276,82
19273.88277,81
19273.88277,80
19273.88277,81
19273.88277,82
19273.88277,83
19273.88277,84
19273.88278,85
19273.88278,86
19273.88278,85
19273.88278,84
19273.88278,85
19273.88278,86
19273.88278,85
19273.88278,86
19273.88279,85
19273.88279,84
19273.88279,85
19273.88279,86
19273.88279,87
19273.88279,88
19273.8828,89
19273.8828,90
19273.8828,91
19273.8828,92
19273.8828,91
19273.8828,92
19273.8828,93
19273.8828,94
19273.88281,95
19273.88281,94
19273.88281,95
19273.88281,96
19273.88281,97
19273.88281,98
19273.88282,99
19273.88282,98
19273.88283,97
19273.88284,98
19273.88284,99
19273.88284,98
19273.88284,97
19273.88284,98
19273.88284,99
19273.88284,100
19273.88285,99
19273.88285,100
19273.88285,99
19273.88285,98
19273.88286,99
19273.88286,100
19273.88286,99
19273.88286,100
19273.88287,99
19273.88288,100
19273.88288,99
19273.88288,100
19273.88289,99
19273.88289,100
19273.88289,99
19273.8829,100
19273.88292,99
19273.88292,100
19273.88293,99
19273.88293,100
19273.88293,99
19273.88293,100
19273.88293,99
19273.88293,100
19273.88293,99
19273.88294,100
19273.88295,99
19273.88295,100
19273.88295,99
19273.88295,100
19273.88296,99
19273.88296,100
19273.88296,99
19273.88297,98
19273.88297,99
19273.88297,100
19273.88298,99
19273.88298,100
19273.88298,99
19273.88298,98
19273.88298,97
19273.88298,98
19273.88298,99
19273.88299,100
19273.883,99
19273.883,100
19273.88302,99
19273.88302,100
19273.88303,99
19273.88303,100
19273.88304,99
19273.88304,98
19273.88304,99
19273.88305,100
19273.88306,99
19273.88306,100
19273.88307,99
19273.88308,100
19273.88309,99
19273.88309,98
19273.8831,99
19273.8831,98
19273.8831,99
19273.8831,100
19273.88311,99
19273.88311,100
19273.88312,99
19273.88312,100
19273.88312,99
